title,genre,director,country,year
Город будущего,"Фантастика,Боевик,Триллер,Драма",,,2003
Гордость и предрассудки,"любовная история,комедия",Эндрю Блэк,,2003
"Годзилла, Мотра, МехаГодзилла: Спасите Токио",фантастика,Масааки Тэдзука,,2003
Глава государства,комедия,Крис Рок,,2003
Гвозди,"фильм ужасов,артхаус",Андрей Исканов,,2003
Голливудские копы,"боевик,комедия,криминальный фильм,триллер",Рон Шелтон,,2003
Гитлер: Восхождение дьявола,"фильм-биография,драма",Кристиан Дюгей,,2003
Глаза страха,"фильм ужасов,триллер","Грег Суинсон,Райан Эмбер",,2005
Всё отдаю тебе,драма,Сатиш Каушик,,2003
Глаз 3: Бесконечность,"Фильм ужасов,триллер",,,
Гарвардский бомж,"фильм-биография,драма",,,2003
Всеми правдами,драматический фильм,,,2003
Галлиполи,,,,
Гильотина,"драма,чёрная комедия,триллер",Коста-Гаврас,,2005
Где скрывается правда,"драма,триллер",Атом Эгоян,,2005
Вскармливание,триллер,Бретт Леонард,,2005
Выборы,"гангстерская,драма",Джонни То,,2005
Гарри Поттер и Кубок огня,"приключения,фэнтези,триллер",Майк Ньюэлл,,2005
Высший пилотаж (Небесная высь),"фантастика,комедия,семейный фильм",Майк Митчел,,
Герой-одиночка,боевик,,,2002
Всё или ничего,"комедия,спорт",Питер Сигал,,2005
Входите без стука,драма,Вим Вендерс,,2005
Гарпастум,"историко,спортивная,драма",Алексей Герман мл.,,2005
Второй пропущенный звонок,фильм ужасов,Рэнпей Цукамото,,
Гензель и Гретель,"детский фильм,фэнтезийная комедия",,,2002
Герой,"уся,боевик,приключенческий фильм",Чжан Имоу,,2002
Гангстеры,"криминальный фильм,драма,мелодрама",Оливье Маршаль,,2002
Высший пилотаж,"драма,комедия",Йонас Акерлунд,,2002
Всего лишь поцелуй,комедия,Фишер Стивенс,,2002
Вторжение на Землю,"фантастический фильм,боевик",Шон Каннингем,,2002
